Probenname,gene_name,gene_type,Ct_Messung_1,Ct_Messung_2,mean_ct
SCC-12_t4_ctrl1,TGFB,target,23.53,22.49,22.49
SCC-12_t4_ctrl1,TGFBRI,target,28.02,27.05,27.05
SCC-12_t4_ctrl1,TGFBRII,target,22.84,21.27,21.27
SCC-12_t4_ctrl1,SMAD2,target,21.49,21.14,21.14
SCC-12_t4_ctrl1,SMAD3,target,25.03,24.82,24.82
SCC-12_t4_ctrl1,ACTB,HK,15.17,16.9,16.9
SCC-12_t4_ctrl1,HPRT1,HK,20.31,,
SCC-12_t4_ctrl1,TBP,HK,22.62,21.81,21.81
SCC-12_t4_ctrl2,TGFB,target,22.15,22.21,22.21
SCC-12_t4_ctrl2,TGFBRI,target,26.76,26.46,26.46
SCC-12_t4_ctrl2,TGFBRII,target,22.51,20.24,20.24
SCC-12_t4_ctrl2,SMAD2,target,20.01,21.74,21.74
SCC-12_t4_ctrl2,SMAD3,target,23.4,24.74,24.74
SCC-12_t4_ctrl2,ACTB,HK,13.18,17.92,17.92
SCC-12_t4_ctrl2,HPRT1,HK,19.67,20.61,20.61
SCC-12_t4_ctrl2,TBP,HK,21.48,22.91,22.91
SCC-12_t4_irr1,TGFB,target,25.13,24.28,24.28
SCC-12_t4_irr1,TGFBRI,target,29.42,29.06,29.06
SCC-12_t4_irr1,TGFBRII,target,26.36,24.74,24.74
SCC-12_t4_irr1,SMAD2,target,23.07,23.39,23.39
SCC-12_t4_irr1,SMAD3,target,27.68,28.27,28.27
SCC-12_t4_irr1,ACTB,HK,15.63,21.08,21.08
SCC-12_t4_irr1,HPRT1,HK,21.05,22.1,22.1
SCC-12_t4_irr1,TBP,HK,24,24.29,24.29
SCC-12_t4_irr2,TGFB,target,24.78,23.65,23.65
SCC-12_t4_irr2,TGFBRI,target,28.69,28.41,28.41
SCC-12_t4_irr2,TGFBRII,target,24.77,24.02,24.02
SCC-12_t4_irr2,SMAD2,target,21.11,24.69,24.69
SCC-12_t4_irr2,SMAD3,target,26.79,28.25,28.25
SCC-12_t4_irr2,ACTB,HK,14.45,20.52,20.52
SCC-12_t4_irr2,HPRT1,HK,20.12,21.71,21.71
SCC-12_t4_irr2,TBP,HK,22.02,24.59,24.59
FVH2819_t4_ctrl1,TGFB,target,20.99,20.19,20.19
FVH2819_t4_ctrl1,TGFBRI,target,,,
FVH2819_t4_ctrl1,TGFBRII,target,23.15,22.45,22.45
FVH2819_t4_ctrl1,SMAD2,target,21.42,24.16,24.16
FVH2819_t4_ctrl1,SMAD3,target,22.77,23.36,23.36
FVH2819_t4_ctrl1,ACTB,HK,14.94,19.56,19.56
FVH2819_t4_ctrl1,HPRT1,HK,21.77,22.45,22.45
FVH2819_t4_ctrl1,TBP,HK,23.25,24.42,24.42
FVH2819_t4_ctrl2,TGFB,target,21.01,20.02,20.02
FVH2819_t4_ctrl2,TGFBRI,target,,,
FVH2819_t4_ctrl2,TGFBRII,target,22.67,22.21,22.21
FVH2819_t4_ctrl2,SMAD2,target,21.28,25.2,25.2
FVH2819_t4_ctrl2,SMAD3,target,22.28,22.4,22.4
FVH2819_t4_ctrl2,ACTB,HK,14.6,17.84,17.84
FVH2819_t4_ctrl2,HPRT1,HK,21.59,22.32,22.32
FVH2819_t4_ctrl2,TBP,HK,22.58,23.9,23.9
FVH2819_t4_irr1,TGFB,target,22.44,21.25,21.25
FVH2819_t4_irr1,TGFBRI,target,,,
FVH2819_t4_irr1,TGFBRII,target,23.73,23.69,23.69
FVH2819_t4_irr1,SMAD2,target,22.45,24.46,24.46
FVH2819_t4_irr1,SMAD3,target,25.52,25.18,25.18
FVH2819_t4_irr1,ACTB,HK,14.95,17.36,17.36
FVH2819_t4_irr1,HPRT1,HK,21.86,21.77,21.77
FVH2819_t4_irr1,TBP,HK,23.5,24.35,24.35
FVH2819_t4_irr2,TGFB,target,22.26,22.14,22.14
FVH2819_t4_irr2,TGFBRI,target,,,
FVH2819_t4_irr2,TGFBRII,target,23.59,23.49,23.49
FVH2819_t4_irr2,SMAD2,target,22.29,23.29,23.29
FVH2819_t4_irr2,SMAD3,target,25.87,24.92,24.92
FVH2819_t4_irr2,ACTB,HK,15.12,16.33,16.33
FVH2819_t4_irr2,HPRT1,HK,23.44,21.59,21.59
FVH2819_t4_irr2,TBP,HK,23.41,24.2,24.2
SCC-12_t72_ctrl1,TGFB,target,22.07,22.48,22.48
SCC-12_t72_ctrl1,TGFBRI,target,26.56,26.55,26.55
SCC-12_t72_ctrl1,TGFBRII,target,20.38,20.28,20.28
SCC-12_t72_ctrl1,SMAD2,target,24.99,20.24,20.24
SCC-12_t72_ctrl1,SMAD3,target,,23.38,23.38
SCC-12_t72_ctrl1,ACTB,HK,17.61,13.52,13.52
SCC-12_t72_ctrl1,HPRT1,HK,20.48,20.09,20.09
SCC-12_t72_ctrl1,TBP,HK,22.16,21.29,21.29
SCC-12_t72_ctrl2,TGFB,target,22.36,22.14,22.14
SCC-12_t72_ctrl2,TGFBRI,target,27.07,26.5,26.5
SCC-12_t72_ctrl2,TGFBRII,target,20.79,20.42,20.42
SCC-12_t72_ctrl2,SMAD2,target,22.11,19.14,19.14
SCC-12_t72_ctrl2,SMAD3,target,25.15,22.88,22.88
SCC-12_t72_ctrl2,ACTB,HK,17.75,13.3,13.3
SCC-12_t72_ctrl2,HPRT1,HK,20.35,,
SCC-12_t72_ctrl2,TBP,HK,22.09,20.99,20.99
SCC-12_t72_irr1,TGFB,target,22.16,22.97,22.97
SCC-12_t72_irr1,TGFBRI,target,25.96,26.01,26.01
SCC-12_t72_irr1,TGFBRII,target,20.52,19.64,19.64
SCC-12_t72_irr1,SMAD2,target,22.34,19.25,19.25
SCC-12_t72_irr1,SMAD3,target,24.77,23.18,23.18
SCC-12_t72_irr1,ACTB,HK,15.69,12.8,12.8
SCC-12_t72_irr1,HPRT1,HK,,,
SCC-12_t72_irr1,TBP,HK,21.39,20.92,20.92
SCC-12_t72_irr2,TGFB,target,23.58,23.9,23.9
SCC-12_t72_irr2,TGFBRI,target,26.9,26.57,26.57
SCC-12_t72_irr2,TGFBRII,target,21.45,21.25,21.25
SCC-12_t72_irr2,SMAD2,target,23.37,20.22,20.22
SCC-12_t72_irr2,SMAD3,target,27.1,23.55,23.55
SCC-12_t72_irr2,ACTB,HK,17.33,13.86,13.86
SCC-12_t72_irr2,HPRT1,HK,,20.2,20.2
SCC-12_t72_irr2,TBP,HK,22.53,21.47,21.47
FVH2819_t72_ctrl1,TGFB,target,24.19,24.08,24.08
FVH2819_t72_ctrl1,TGFBRI,target,24.5,,
FVH2819_t72_ctrl1,TGFBRII,target,25.02,24.64,24.64
FVH2819_t72_ctrl1,SMAD2,target,26.99,22.41,22.41
FVH2819_t72_ctrl1,SMAD3,target,27.53,23.91,23.91
FVH2819_t72_ctrl1,ACTB,HK,20.55,16.6,16.6
FVH2819_t72_ctrl1,HPRT1,HK,23.04,,
FVH2819_t72_ctrl1,TBP,HK,25.45,24.87,24.87
FVH2819_t72_ctrl2,TGFB,target,26.59,26.87,26.87
FVH2819_t72_ctrl2,TGFBRI,target,27.29,,
FVH2819_t72_ctrl2,TGFBRII,target,27.87,27.16,27.16
FVH2819_t72_ctrl2,SMAD2,target,27.14,23.81,23.81
FVH2819_t72_ctrl2,SMAD3,target,29.27,26.91,26.91
FVH2819_t72_ctrl2,ACTB,HK,22.29,18.06,18.06
FVH2819_t72_ctrl2,HPRT1,HK,23.84,23.56,23.56
FVH2819_t72_ctrl2,TBP,HK,27.67,26.58,26.58
FVH2819_t72_irr1,TGFB,target,27.08,27.37,27.37
FVH2819_t72_irr1,TGFBRI,target,28.1,,
FVH2819_t72_irr1,TGFBRII,target,28.06,27.75,27.75
FVH2819_t72_irr1,SMAD2,target,27.5,25.15,25.15
FVH2819_t72_irr1,SMAD3,target,28.72,27.2,27.2
FVH2819_t72_irr1,ACTB,HK,21.64,19.77,19.77
FVH2819_t72_irr1,HPRT1,HK,,,
FVH2819_t72_irr1,TBP,HK,28.14,27.27,27.27
FVH2819_t72_irr2,TGFB,target,27.69,28.03,28.03
FVH2819_t72_irr2,TGFBRI,target,28.3,,
FVH2819_t72_irr2,TGFBRII,target,28.52,27.95,27.95
FVH2819_t72_irr2,SMAD2,target,27.94,25.23,25.23
FVH2819_t72_irr2,SMAD3,target,29.3,27.44,27.44
FVH2819_t72_irr2,ACTB,HK,22.82,19.32,19.32
FVH2819_t72_irr2,HPRT1,HK,,,
FVH2819_t72_irr2,TBP,HK,28.36,27.77,27.77
